idavaliacao,idmembro,criado_em,atualizado_em,status
9859ef7c-1139-497b-b04b-c2318da203c6,mem00033,2025-10-14 23:05:34.975127+00,2025-10-14 23:05:34.975127+00,em_andamento
9c9997c2-6ed0-4c4d-b99e-389493db353a,mem00031,2025-10-07 15:09:42.8491+00,2025-10-07 15:21:06.255389+00,concluida
9e48ad3a-d995-4a49-a362-66842a75c7f0,dca6fbb4,2025-10-05 12:10:23.216306+00,2025-10-05 12:23:24.363773+00,concluida
a47aa96e-b098-4f15-9fd2-72cbc395b7d1,e406450d,2025-10-05 00:23:29.15468+00,2025-10-05 02:56:59.198386+00,concluida
a5ae9e04-7c52-4814-9aef-679f6e0e6612,baef02a4,2025-10-04 19:12:59.938359+00,2025-10-04 19:15:02.009722+00,concluida
a5c63b7a-0c45-4219-b0bd-cb2f4a3f2b41,mem00030,2025-10-05 00:21:55.167922+00,2025-10-05 00:21:55.167922+00,em_andamento
a74bb70e-4eeb-40aa-9fbe-5ee3480099a6,mem00015,2025-10-08 13:35:35.992153+00,2025-10-08 13:52:56.813162+00,concluida
ae89c992-2910-42f3-9271-5fc8d950566b,mem00042,2025-10-05 00:23:18.835337+00,2025-10-06 01:27:16.430117+00,concluida
b34ac830-96a3-4760-8bf3-1ed9dd92e126,d2e60eff,2025-10-06 01:10:50.60993+00,2025-10-17 13:35:15.933961+00,concluida
b51ff200-6211-4406-99d9-0298b58f7165,mem00003,2025-10-05 09:53:17.471125+00,2025-10-05 09:53:17.471125+00,em_andamento
bab1d182-bf09-4abf-9d10-2310f48128b4,MEM000541,2025-10-06 20:57:38.917771+00,2025-10-08 21:52:20.219737+00,concluida
c9d7bd60-f6e5-4131-b2bc-e9e6a83feae1,d1e9cbb3,2025-10-16 18:41:46.18603+00,2025-10-16 18:52:20.743917+00,concluida
d21cfd87-b9ff-4cd1-a8a9-1b9e384c1738,0283d644,2025-10-04 23:06:35.444573+00,2025-10-05 02:16:37.107362+00,concluida
d2f01b05-0e9f-4545-b53f-c35012181e57,f563f392,2025-10-08 21:25:55.238869+00,2025-10-08 21:33:50.552176+00,concluida
d66032a2-ea19-437f-8cd9-6744316af69e,2c454a5e,2025-10-05 00:30:35.747027+00,2025-10-05 00:30:35.747027+00,em_andamento
dbfadacb-75fb-4a8f-a62d-3107c592e9b9,mem00038,2025-10-04 23:06:48.444537+00,2025-10-05 02:27:48.840385+00,concluida
dfad95b4-805d-417e-9df4-b7b7f91730cc,mem00022,2025-10-07 15:04:30.169428+00,2025-10-07 15:25:44.567012+00,concluida
e1f65f22-1344-4387-88b8-ebd86c1e82d5,mem00034,2025-10-04 23:25:51.819302+00,2025-10-13 02:28:08.130278+00,concluida
ecf39f7e-e869-47b6-bfb8-4f5f65eaaebe,mem00026,2025-10-14 22:13:08.610707+00,2025-10-14 22:13:08.610707+00,em_andamento
edcce03b-9ead-4dd8-9da6-8c5777487d32,mem00025,2025-10-04 23:25:52.734279+00,2025-10-15 14:52:42.821992+00,concluida
ede6848f-94e9-492d-9f9c-c8c0f1705f48,b2d600b6,2025-10-08 21:27:27.326165+00,2025-10-08 21:39:03.989357+00,concluida
eeef57f1-e5d3-46af-8f2b-42d2f6f71f1f,mem00016,2025-10-05 02:05:26.396408+00,2025-10-05 02:14:06.687247+00,concluida
f74ff514-5ede-4bf7-a50d-5d634ecb598c,18d13212,2025-10-04 23:06:02.243326+00,2025-10-13 11:30:00.237739+00,concluida
f9f1479e-d995-4a90-8eff-f2e9b71c6da6,mem00029,2025-10-15 11:35:31.382931+00,2025-10-15 13:18:32.083222+00,concluida
fbefabd4-3ba5-41e9-bf9f-7203e1f3bfe2,dc3e0a6f,2025-10-14 16:16:17.05013+00,2025-10-14 16:31:40.860434+00,concluida
